id,name,second_name,pre_surname,surname,main_job,fullname,Aid,orcid
F177D9C42C3F9675E91C0E7DF65E15B95F141614,Julia,,,Gorbaniuk,Katolicki_Uniwersytet_Lubelski_Jana_Pawła_II_w_Lublinie,Julia Gorbaniuk,Julia_Gorbaniuk_P3S,
FBA6EF641304E09934548C4126C4A71FEB53ED0C,Oleg,,,Gorbaniuk,Katolicki_Uniwersytet_Lubelski_Jana_Pawła_II_w_Lublinie,Oleg Gorbaniuk,Oleg_Gorbaniuk_4Yd,
0F375A4017844B72992E56A1E2C447E2A405F6B2,Agata,Małgorzata,,Goździewicz-Rostankowska,Uniwersytet_Gdański,Agata Małgorzata Goździewicz-Rostankowska,Agata_Małgorzata_Goździewicz-Rostankowska_3ug,0000-0002-8362-2213
538749F66094A3D4C7A8817A1AF734DC5F50E8B5,Małgorzata,,,Górnik-Durose,Uniwersytet_Śląski_w_Katowicach,Małgorzata Górnik-Durose,Małgorzata_Górnik-Durose_5Fj,0000-0003-3395-5324
3BEE747DABC152A11E1E45EF9955CCCA92E044B8,Dominika,Joanna,,Górska,Uniwersytet_Adama_Mickiewicza_w_Poznaniu,Dominika Joanna Górska,Dominika_Joanna_Górska_KN0,0000-0001-5804-8128
550BBA40968B3BDAE9C2C82F5937AE2DBF2A6172,Paulina,,,Górska,Uniwersytet_Warszawski,Paulina Górska,Paulina_Górska_ulZ,0000-0002-0398-6544
CCB7E1DA18DF20A95E9926516D72A0CDEC3B05A6,Zuzanna,Elżbieta,,Górska-Kanabus,Uniwersytet_Kardynała_Stefana_Wyszyńskiego_w_Warszawie,Zuzanna Elżbieta Górska-Kanabus,Zuzanna_Elżbieta_Górska-Kanabus_fZU,
F0EE9CC949EF8B88182C411053DCD2D1B5A9C5E4,Damian,Wojciech,,Grabowski,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,Damian Wojciech Grabowski,Damian_Wojciech_Grabowski_Ol6,0000-0001-8589-4135
377CCC44845C37304C060CB0BC5D217282AA5D27,Monika,Łucja,,Gregorczuk,Uniwersytet_Kardynała_Stefana_Wyszyńskiego_w_Warszawie,Monika Łucja Gregorczuk,Monika_Łucja_Gregorczuk_rWm,
C20FC6B39A794A6FDAB43FAA56CC55513CF67741,Jarosław,,,Grobelny,Uniwersytet_Adama_Mickiewicza_w_Poznaniu,Jarosław Grobelny,Jarosław_Grobelny_xEs,0000-0003-4296-402X
A7AB6DA411FA7B6BD6D6516F24F94A9088B61B08,Alicja,Magdalena,,Grochowska,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,Alicja Magdalena Grochowska,Alicja_Magdalena_Grochowska_CWz,0000-0002-7104-5738
316D395D6EA9FF85FDD0BF07659D753C3330DD96,Katarzyna,,,Growiec,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,Katarzyna Growiec,Katarzyna_Growiec_58P,0000-0002-4448-2561
7AD90EF796BA44073109B41864B2FEF5339B1E0D,Katarzyna,Anna,,Grunt-Mejer,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,Katarzyna Anna Grunt-Mejer,Katarzyna_Anna_Grunt-Mejer_GXN,0000-0001-5679-5322
B740644ABEFDCABE20A218E23421F8687650BA8C,Ewa,Melania,,Gruszczyńska,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,Ewa Melania Gruszczyńska,Ewa_Melania_Gruszczyńska_HCt,
CC909803C9B43E064FD2346EA856A681D84E2818,Eufrozyna,,,Gruszecka,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,Eufrozyna Gruszecka,Eufrozyna_Gruszecka_Zer,
5FE987E308B9BE39560B28569761DFAA58EFCC50,Jerzy,,,Gruszka,Akademia_Ignatianum_w_Krakowie,Jerzy Gruszka,Jerzy_Gruszka_D26,
85BF4CBFBD0238FCC27F521511A41309983B0606,Aleksandra,,,Gruszka-Gosiewska,Uniwersytet_Jagielloński_w_Krakowie,Aleksandra Gruszka-Gosiewska,Aleksandra_Gruszka-Gosiewska_bNI,
